"fullName","jaName","teamId"
"U18 Australia","U18オーストラリア",""
"U18 England","U18イングランド",""
"U18 Ireland","U18アイルランド",""
"U18 North Harbor","U18ノースハーバー",""
"U18 Wales","U18ウェールズ",""
"U19 America","U19アメリカ",""
"U19 New Zealand","U19ニュージーランド",""
"U20 Cook Islands","U20クック諸島",""
"U20 Kenya","U20ケニア",""
"U20 Russia","U20ロシア",""
"U21 New Zealand","U21ニュージーランド",""
"UCD","UCD",""
"UCT Ikey Tigers","UCT Ikey Tigers",""
"Udine","ウーディネ",""
"Uni-Norths Owls","Uni-Norths Owls",""
"University of Exeter RFC","エクセター大学RFC",""
"University of Johannesburg","ヨハネスブルク大学",""
"University of Mumbai","ムンバイ大学",""
"University of New South Wales","ニューサウスウェールズ大学",""
"University of Wellington","ウェリントン大学",""
"Unlucky Club","惑惑クラブ",""
"UP Tuks","UP Tuks",""
"Upper hat","アッパーハット",""
"US Berger Rack","USベルジュラック",""
"US Cognac","USコニャック",""
"US Tiros","USティロス",""
"Utsunomiya VOLT'S","宇都宮VOLT'S",""
"Utsunomiya Voltz","宇都宮ヴォルツ",""
"Uwic","UWIC",""
"Valence","ヴァランス",""
"Valence Dajean","ヴァランス＝ダジャン",""
"Valence Roman","ヴァランス・ロマン",""
"Valley RFC","ヴァレーRFC",""
"Valpolicella","ヴァルポリチェッラ",""
"Verance Romance Drome Rugby","ヴェランス・ロマンス・ドローム・ラグビー",""
"Viadana","ヴィアダーナ",""
"Vicenza","ヴィチェンツァ",""
"Visor Kochebi","ヴィソル・コチェビ",""
"Vizcaia Guernica","ビズカイア・ゲルニカ",""
"VVA","VVA",""
"VVA Saracens","VVAサラセンズ",""
"Waikato","ワイカト",""
"Waikato Institute of Technology","ワイカト工科大学",""
"Wairara Pubshu","ワイララパブッシュ",""
"Wairarapa Bush","ワイララパ・ブッシュ",""
"Waitemata RFC","ワイテマタRFC",""
"Waitemata Rugby Football Club","ワイテマタラグビーフットボールクラブ",""
"Wally's","ウォーリーズ",""
"Wanganui","ワンガヌイ",""
"Warators U19","ワラターズU19",""
"Waringau","ワリンガウ",""
"Warlinger","ワーリンガー",""
"Warwick School","ワーウィックスクール",""
"Waseda Club M.F. Maurice Club","ワセダクラブM.F.帆柱クラブ",""
"Waverly College","ウェーバリーカレッジ",""
"Well Whitiers","ウェルウィチアズ",""
"Wellington College","ウェリントンカレッジ",""
"Wellwitches","ウェルウィッチアズ",""
"Welwitcher","ウェルウィッチア",""
"Weslee University","ウエスレー大学",""
"Wesley College","ウェズリーカレッジ",""
"Wesley University","ウェズリー大学",""
"Wess","ウェスツ",""
"West Coast","ウェストコースト",""
"West Harbor","ウェストハーバー",""
"West Harbor Pirates","ウエスト・ハーバー・パイレーツ",""
"Western Australia University","ウエスタンオーストラリア大学",""
"Western Provence","ウェスタン・プロヴァンス",""
"Western Province","ウェスタン・プロヴィンス",""
"Western Sydney Rams","ウエスタン・シドニー・ラムズ",""
"Western Sydney University","ウエスタンシドニー大学",""
"Western Province","Western Province",""
"Wests","Wests",""
"Worthing","ワージング",""
"Yambaru Club","やんばるクラブ",""
"Yokohama Rugby School","横浜ラグビースクール",""
"Yoo Cruj","ユ・クルジュ",""
"Yorkshire","ヨークシャー",""
"Yukor University","ユーコル大学",""
