"wikidataId","fullName","birthDate","birthPlace","deathDate","deathPlace","height","weight","positions"
"Q11467486","Takatoyo Yamaguchi","1977-11-09","Iwate Prefecture",NA,"Iwate Prefecture",180,88,"Flanker"
"Q11469150","Masahito Yamamoto","1978-05-29","Aichi Prefecture; Nagoya",NA,"Aichi Prefecture; Nagoya",NA,NA,"Prop"
"Q11469268","Hidefumi Yamamoto","1984-07-24","Fukuoka Prefecture",NA,"Fukuoka Prefecture",185,94,"Winger"
"Q11469560","Naoto Yamane","1987-12-28","Hokkaido",NA,"Hokkaido",189,89,"Number 8; Lock"
"Q11470597","Akihito Yamada","1985-07-26","Japan; Fukuoka Prefecture; Kitakyushu",NA,"Japan; Fukuoka Prefecture; Kitakyushu",181,90,"Winger"
"Q11475842","Reo Kishiwada","1987-01-18","Hyōgo Prefecture; Takarazuka; Hyōgo",NA,"Hyōgo Prefecture; Takarazuka; Hyōgo",180,86,"Centre"
"Q11477709","Naoki Kawamata","1985-10-31","Japan; Tokyo",NA,"Japan; Tokyo",184,118,"Prop"
"Q11478086","Reo Kawai","1974-03-13","Tokyo",NA,"Tokyo",183,87,"Centre"
"Q11483125","Taizō Hirabayashi","1975-04-24",NA,NA,NA,NA,NA,"Scrum-Half; Winger"
"Q11483218","Koji Taira","1983-01-12","Nagasaki Prefecture",NA,"Nagasaki Prefecture",185,96,"Centre"
"Q11486382","Taku Hirosawa","1986-09-10","Tochigi Prefecture; Haga District; Tochigi; Mashiko",NA,"Tochigi Prefecture; Haga District; Tochigi; Mashiko",192,108,"Lock"
"Q11488597","Shōta Gotō","1983-01-07","Ōita Prefecture; Ōita (city)",NA,"Ōita Prefecture; Ōita (city)",NA,NA,"Scrum-Half"
"Q11495484","Angduk Sung","1983-04-28","Hyōgo Prefecture",NA,"Hyōgo Prefecture",170,110,"Prop"
"Q11495709","Shūetsu Narita","1984-08-29","Akita Prefecture; Oga; Akita",NA,"Akita Prefecture; Oga; Akita",169,74,"Winger; Scrum-Half"
"Q11497253","Yajiro Ori",NA,NA,NA,NA,NA,NA,"Flanker"
"Q11499916","Takaya Monji","1988-03-31","Kyoto Prefecture",NA,"Kyoto Prefecture",173,85,"Fly-Half"
"Q11505186","Atsushi Hiwasa","1987-05-22","Japan; Hyōgo Prefecture; Kobe",NA,"Japan; Hyōgo Prefecture; Kobe",166,72,"Scrum-Half"
"Q11515288","Yoshinori Sogabe","1984-05-06","Osaka Prefecture",NA,"Osaka Prefecture",178,77,"Fly-Half"
"Q11521646","Eiji Kutsuki","1962-12-25","Fukui Prefecture",NA,"Fukui Prefecture",NA,NA,"Centre"
"Q11522577","Li Yang","1984-09-29","Gansu; Lanzhou",NA,"Gansu; Lanzhou",178,83,"Winger"
"Q11523396","Wataru Murata","1968-01-25","Japan; Fukuoka Prefecture; Fukuoka; Jōnan-ku",NA,"Japan; Fukuoka Prefecture; Fukuoka; Jōnan-ku",172,75,"Scrum-Half"
"Q11531935","Manabu Matsuse",NA,NA,NA,NA,NA,NA,NA
"Q11532009","Tsutomu Matsuda","1970-04-30","Saitama Prefecture",NA,"Saitama Prefecture",180,85,"Winger; Fullback"
"Q11537567","Yūsaku Kuwazuru","1985-10-23","Kagoshima Prefecture; Kagoshima",NA,"Kagoshima Prefecture; Kagoshima",188,97,"Flanker"
"Q11538049","Yoshihiko Sakuraba","1966-09-22","Akita Prefecture",NA,"Akita Prefecture",NA,NA,"Lock"
"Q11542281","Tarō Kenjō","1986-01-09","Fukuoka Prefecture",NA,"Fukuoka Prefecture",185,100,"Lock; Flanker; Number 8"
"Q11543834","Shunji Hashimoto","1978-07-01","Osaka; Hirano-ku",NA,"Osaka; Hirano-ku",165,60,"Scrum-Half"
"Q11545722","Kenji Shōmen","1983-05-01","Osaka Prefecture; Moriguchi; Osaka",NA,"Osaka Prefecture; Moriguchi; Osaka",175,85,"Fullback"
"Q11547820","Hirotaka Ujino","1955-01-23","Osaka Prefecture",NA,"Osaka Prefecture",170,NA,"Winger"
"Q11552016","Wataru Ikeda","1975-11-17","Miyagi Prefecture; Higashimatsushima",NA,"Miyagi Prefecture; Higashimatsushima",172,76,"Scrum-Half"
"Q11557404","Ryōta Asano","1979-09-25","Chiba Prefecture",NA,"Chiba Prefecture",183,97,"Lock; Flanker; Number 8"
"Q11561936","Tamotsu Tokaiya","1981-05-20","Osaka Prefecture",NA,"Osaka Prefecture",171,90,"Centre"
"Q11563485","Hiroki Yuhara","1984-01-21","Chiba Prefecture; Inzai","2020-09-29","Chiba Prefecture; Inzai",173,110,"Hooker"
"Q11566450","Hayato Sezaki","1980-01-21","Aomori Prefecture",NA,"Aomori Prefecture",182,93,"Winger"
"Q11568796","Takanori Kumagae","1978-05-31","Fukuoka Prefecture",NA,"Fukuoka Prefecture",193,103,"Lock"
"Q11572281","Shigeaki Gen","1985-01-19","Osaka Prefecture",NA,"Osaka Prefecture",189,105,"Lock"
"Q11574161","Yasuharu Uryū","1980-01-07","Fukuoka Prefecture",NA,"Fukuoka Prefecture",176,78,"Winger"
"Q11575305","Yūsuke Tanaka","1984-09-22","Kanagawa Prefecture",NA,"Kanagawa Prefecture",185,97,"Winger; Centre"
"Q11576207","Masanori Takura","1966-09-30","Kyoto Prefecture",NA,"Kyoto Prefecture",NA,NA,"Prop"
"Q11577089","Hiroyuki Tanuma","1973-05-24","Kanagawa Prefecture",NA,"Kanagawa Prefecture",193,90,"Lock"
"Q11582509","Tomokazu Sōma","1977-06-05","Japan; Kanagawa Prefecture",NA,"Japan; Kanagawa Prefecture",183,122,"Prop"
"Q11584645","Tomoo Chiba","1905-06-02",NA,"1974-04-13",NA,172,69,NA
"Q11585763","Yasuhiko Ishikawa","1976-01-28","Yamanashi Prefecture",NA,"Yamanashi Prefecture",NA,NA,"Winger"
"Q11587969","Masaaki Isooka","1983-03-21","Fukuoka Prefecture",NA,"Fukuoka Prefecture",187,97,"Number 8"
"Q11597887","Goshi Tachikawa","1976-11-25","Saga Prefecture",NA,"Saga Prefecture",181,94,"Fullback"
"Q11598676","Shōhei Takeshita","1989-05-06","Fukuoka Prefecture; Fukuoka",NA,"Fukuoka Prefecture; Fukuoka",177,85,"Winger; Fullback"
"Q11599778","Kenji Kasai","1976-06-07","Tokyo",NA,"Tokyo",184,118,"Prop"
"Q11599816","Tsunehiko Kasahara","1911-07-18","Japan; Tokyo Prefecture (1868–1943); Tokyo City; Koishikawa Ward","1989-04-11","Japan; Tokyo Prefecture (1868–1943); Tokyo City; Koishikawa Ward",NA,NA,NA
"Q11599850","Yūta Kasahara","1984-09-30","Japan; Hokkaido; Hakodate",NA,"Japan; Hokkaido; Hakodate",186,108,"Lock; Flanker"
"Q11603495","Masahiro Tsuiki","1983-07-26","Fukuoka Prefecture",NA,"Fukuoka Prefecture",176,88,"Winger"
"Q11603650","Koji Shinozuka","1983-07-13","Saitama Prefecture; Kumagaya",NA,"Saitama Prefecture; Kumagaya",196,105,"Lock; Flanker"
"Q11616091","Yūji Sonoda","1973-07-05","Osaka Prefecture; Hirakata",NA,"Osaka Prefecture; Hirakata",NA,NA,"Scrum-Half"
"Q11624711","Tsuyoshi Fujita","1961-01-27","Osaka Prefecture",NA,"Osaka Prefecture",NA,NA,"Hooker"
"Q11624826","Nozomu Fujita","1984-10-02","Saitama Prefecture",NA,"Saitama Prefecture",192,125,"Tighthead Prop"
"Q11627356","Tadasuke Nishihara","1988-01-02","Osaka Prefecture",NA,"Osaka Prefecture",184,105,"Flanker"
"Q11631229","Q11631229","1985-01-13","South Korea",NA,"South Korea",185,116,"Prop"
"Q11634029","Masakazu Toyota","1986-05-15","Fukuoka Prefecture",NA,"Fukuoka Prefecture",189,108,"Number 8"
"Q11638245","Yutaka Tsujimoto","1975-07-24","Osaka Prefecture",NA,"Osaka Prefecture",NA,NA,"Hooker"
"Q11638345","Takashi Tsuji","1977-04-24","Ibaraki Prefecture",NA,"Ibaraki Prefecture",NA,NA,"Scrum-Half"
"Q11644702","Yasumasa Shigemitsu","1980-01-06","Japan; Kyoto Prefecture",NA,"Japan; Kyoto Prefecture",174,82,"Fly-Half"
"Q11645655","Naoya Nomura","1983-11-03","Japan; Saitama Prefecture; Fukaya; Saitama",NA,"Japan; Saitama Prefecture; Fukaya; Saitama",179,84,"Fly-Half; Centre"
"Q11647618","Ryō Kanazawa","1981-07-13","Osaka Prefecture",NA,"Osaka Prefecture",174,86,"Centre"
"Q11649129","Hidemaru Suzuki","1907-10-30",NA,"1984-11-24",NA,160,70,"Centre"
"Q11653134","Yusuke Nagae","1985-07-19","Japan; Gifu Prefecture; Tajimi",NA,"Japan; Gifu Prefecture; Tajimi",171,108,"Prop"
"Q11653834","Shin Hasegawa","1972-03-31","Kyoto Prefecture; Kyoto",NA,"Kyoto Prefecture; Kyoto",NA,NA,"Prop"
"Q11657779","Hironori Abe","1984-09-15","Iwate Prefecture; Shiwa; Iwate",NA,"Iwate Prefecture; Shiwa; Iwate",NA,NA,"Centre"
"Q11659567","Hideki Nanba","1976-07-08","Kanagawa Prefecture",NA,"Kanagawa Prefecture",178,84,"Centre"
"Q11660149","Hitoshi Matsumoto","1993-09-29","Japan; Nara Prefecture",NA,"Japan; Nara Prefecture",179,92,"Centre"
"Q11661635","Yusuke Aoki","1983-06-19","Tokyo; Machida",NA,"Tokyo; Machida",176,95,"Hooker"
"Q11667050","Kōshirō Shutō","1984-05-05","Ōita Prefecture",NA,"Ōita Prefecture",163,75,"Winger"
"Q11677606","Ippei Asada","1980-06-26","Japan; Osaka Prefecture",NA,"Japan; Osaka Prefecture",NA,NA,"Scrum-Half"
"Q11722570","Jan Serfontein","1993-04-15","South Africa; Eastern Cape; Gqeberha",NA,"South Africa; Eastern Cape; Gqeberha",187,97,"Centre"
"Q11728764","Juan Diego Ormaechea","1989-01-28","Uruguay; Montevideo Department; Montevideo",NA,"Uruguay; Montevideo Department; Montevideo",182,100,"Flanker; Number 8"
"Q11837692","Yacouba Camara","1994-06-02","France; Seine-Saint-Denis; Aubervilliers",NA,"France; Seine-Saint-Denis; Aubervilliers",195,110,"Flanker"
"Q13530415","Michael Broadhurst","1986-10-30","New Zealand; Gisborne",NA,"New Zealand; Gisborne",196,110,"Number 8; Flanker"
"Q13579186","Hisateru Hirashima","1983-01-15","Japan; Kumamoto Prefecture; Kumamoto",NA,"Japan; Kumamoto Prefecture; Kumamoto",181,110,"Prop"
"Q13933304","Fred Zeilinga","1992-12-11","South Africa; Free State (province); Bloemfontein",NA,"South Africa; Free State (province); Bloemfontein",175,82,"Fly-Half"
"Q14192201","Frans Ludeke","1968-04-24","South Africa; Polokwane",NA,"South Africa; Polokwane",NA,NA,"Flanker; Number 8"
"Q14372315","Mako Vunipola","1991-01-14","New Zealand; Wellington",NA,"New Zealand; Wellington",180,122,"Prop"
"Q14979115","Louis Schreuder","1990-04-25","South Africa; Western Cape; Paarl",NA,"South Africa; Western Cape; Paarl",184,82,"Scrum-Half"
"Q15072130","Evgeny Matveev","1984-04-15","Russia; Penza",NA,"Russia; Penza",187,102,"Hooker"
"Q15119090","Billy Vunipola","1992-11-03","Australia; New South Wales; Sydney",NA,"Australia; New South Wales; Sydney",188,130,"Number 8"
"Q15140706","Tommaso Allan","1993-04-26","Italy; Veneto; Province of Vicenza; Vicenza",NA,"Italy; Veneto; Province of Vicenza; Vicenza",184,91,"Fly-Half; Fullback"
"Q15185698","Michele Campagnaro","1993-03-13","Italy; Lombardy; Province of Milan; Milan",NA,"Italy; Lombardy; Province of Milan; Milan",183,94,"Centre"
"Q15618653","Harumichi Tatekawa","1989-12-02","Japan; Nara Prefecture; Tenri; Nara",NA,"Japan; Nara Prefecture; Tenri; Nara",181,94,"Fly-Half; Centre"
"Q15622330","Waisea Nayacalevu","1990-06-26","Fiji; Navua",NA,"Fiji; NA",193,105,"Winger; Centre"
"Q15653152","Josua Tuisova","1994-02-04","Fiji",NA,"Fiji",180,108,"Winger; Centre"
"Q15712719","Henry Thomas","1991-10-30","England; Royal Borough of Kingston upon Thames",NA,"England; Royal Borough of Kingston upon Thames",185,120,"Prop"
"Q15731077","Jack Nowell","1993-04-11","England; Truro",NA,"England; Truro",180,98,"Winger"
"Q15736032","Handré Pollard","1994-03-11","South Africa; Western Cape",NA,"South Africa; Western Cape",188,95,"Fly-Half"
"Q15968561","Shane O'Leary","1993-03-12","Republic of Ireland; County Cork; Cork (city)",NA,"Republic of Ireland; County Cork; Cork (city)",178,90,"Fly-Half"
"Q15973427","Cyril Baille","1993-09-15","France; Pau; Pyrénées-Atlantiques",NA,"France; Pau; Pyrénées-Atlantiques",182,116,"Prop"
"Q16011219","Chris Farrell","1993-03-16","Northern Ireland; County Antrim; Belfast",NA,"Northern Ireland; County Antrim; Belfast",191,110,"Centre"
"Q16057918","Mark Abbott","1990-02-20","New Zealand; Christchurch",NA,"New Zealand; Christchurch",197,112,"Lock"
"Q16058179","Tim Agaba","1989-07-23","Uganda; Kampala District; Kampala",NA,"Uganda; Kampala District; Kampala",193,106,"Flanker; Number 8"
"Q16148739","Lukhanyo Am","1993-11-28","South Africa; Qonce",NA,"South Africa; Qonce",186,93,"Centre"
"Q16150064","Tyler Ardron","1991-06-16","Canada; Ontario; Peterborough",NA,"Canada; Ontario; Peterborough",194,110,"Lock"
"Q16150710","Rory Arnold","1990-07-01","Australia; New South Wales; Wagga Wagga",NA,"Australia; New South Wales; Wagga Wagga",208,120,"Lock"
"Q16187337","Nofomuli Taumoefolau","1956-06-12","Tonga",NA,"Tonga",NA,NA,"Winger"
"Q16196027","Rob Gordon","1965-08-07","New Zealand",NA,"New Zealand",NA,NA,"Flanker"
"Q16196601","Simon Middleton","1966-02-02","West Yorkshire; Nottingley",NA,"West Yorkshire; NA",NA,NA,"Winger"
"Q16198056","Marty Banks","1989-09-19","New Zealand",NA,"New Zealand",191,94,"Fly-Half; Fullback"
"Q16200426","Fraser Brown","1989-06-20","Scotland; Edinburgh",NA,"Scotland; Edinburgh",182,113,"Hooker; Flanker"
"Q16202959","Tetaz Chaparro","1989-06-11","Argentina",NA,"Argentina",187,118,"Prop"
"Q16210351","Rohan Janse van Rensburg","1994-09-11","South Africa; Free State (province); Welkom",NA,"South Africa; Free State (province); Welkom",185,108,"Centre"
"Q16210506","Vincent Koch","1990-05-13","South Africa; KwaZulu-Natal; Empangeni",NA,"South Africa; KwaZulu-Natal; NA",185,118,"Prop"
"Q16212076","Jacques van Rooyen","1986-10-24","South Africa; Gauteng; Pretoria",NA,"South Africa; Gauteng; Pretoria",186,122,"Prop"
"Q16212120","Henco Venter","1992-03-27","South Africa; Free State (province); Bloemfontein",NA,"South Africa; Free State (province); Bloemfontein",193,113,"Number 8; Flanker"
"Q16212500","Heiden Bedwell-Curtis","1991-06-25","New Zealand; Christchurch",NA,"New Zealand; Christchurch",194,108,"Flanker; Number 8"
"Q16212512","Tolu Latu","1993-02-23","Tonga; Nukuʻalofa",NA,"Tonga; Nukuʻalofa",175,110,"Hooker"
"Q16212692","Ben Toolis","1992-03-31","Australia; Queensland; Brisbane",NA,"Australia; Queensland; Brisbane",200,119,"Lock"
"Q16212765","Mark Bennett","1993-02-03","Irvine; North Ayrshire",NA,"Irvine; North Ayrshire",183,91,"Centre"
"Q16214508","Tabai Matson","1973-05-14","Fiji",NA,"Fiji",192,104,"Centre"
"Q16221824","Humphrey Kayange","1982-07-20","Nairobi",NA,"Nairobi",198,105,"Centre; Fullback"
"Q16222406","Malakai Ravulo","1983-09-22","Fiji",NA,"Fiji",190,107,"Flanker"
"Q16222516","Pieter-Jan van Lill","1983-12-04","Namibia; Karas Region; Keetmanshoop",NA,"Namibia; Karas Region; Keetmanshoop",193,117,"Flanker; Number 8"
"Q16223178","Itaru Taniguchi","1984-10-01","Japan; Ibaraki Prefecture; Naka; Ibaraki",NA,"Japan; Ibaraki Prefecture; Naka; Ibaraki",188,105,"Number 8"
"Q16223328","Oh Youn-hyung","1984-10-29","South Korea",NA,"South Korea",178,78,"Fly-Half"
"Q16223479","Florin Surugiu","1984-12-10","Romania; Bucharest",NA,"Romania; Bucharest",169,71,"Scrum-Half"
"Q16223701","Davit Kacharava","1985-01-16","Georgia (country); Tbilisi",NA,"Georgia (country); Tbilisi",185,100,"Centre"
"Q16229940","Patrick Butler","1990-12-01","Republic of Ireland; County Tipperary",NA,"Republic of Ireland; County Tipperary",191,107,"Flanker; Number 8"
"Q16230108","Jack Carty","1992-08-31","Republic of Ireland; County Westmeath; Athlone",NA,"Republic of Ireland; County Westmeath; Athlone",181,88,"Fly-Half"
"Q16231444","Tim Mikkelson","1986-08-13","New Zealand",NA,"New Zealand",194,101,"Winger; Fullback"
"Q16231454","Morrison Mong","1986-09-22",NA,NA,NA,175,NA,"Fly-Half"
"Q16231657","Chris Eves","1987-12-11","New Zealand",NA,"New Zealand",188,118,"Prop"
"Q16231871","Hadleigh Parkes","1987-10-05","New Zealand; Huntersville",NA,"New Zealand; NA",187,101,"Fly-Half; Winger; Centre"
"Q16231937","Male Sa'u","1987-10-13","New Zealand; Auckland",NA,"New Zealand; Auckland",183,97,"Centre; Fly-Half"
"Q16231991","Alexander Todua","1987-11-02","Georgia (country); Tbilisi",NA,"Georgia (country); Tbilisi",183,92,"Winger; Centre; Fullback"
"Q16232028","Joe Wheeler","1987-10-20","Christchurch",NA,"Christchurch",200,114,"Lock"
"Q16232393","John Ryan","1988-08-02","Republic of Ireland; County Cork; Cork (city)",NA,"Republic of Ireland; County Cork; Cork (city)",183,120,"Prop"
"Q16232425","Sila Puafisi","1988-04-15","Tonga",NA,"Tonga",185,135,"Prop"
"Q16232563","Daniel Faleafa","1989-02-13","New Zealand; Auckland",NA,"New Zealand; Auckland",195,108,"Lock; Flanker"
"Q16232630","James Hilterbrand","1989-05-21","Australia; South Australia; Adelaide",NA,"Australia; South Australia; Adelaide",184,108,"Prop; Hooker"
"Q16232677","Belgium Tuatagaloa","1989-09-19","New Zealand; Auckland",NA,"New Zealand; Auckland",181,115,"Prop"
"Q16232737","Jamie Mackenzie","1989-02-28","Canada; Ontario; Oakville",NA,"Canada; Ontario; Oakville",173,89,"Scrum-Half"
"Q16232797","Dean Muir","1989-02-06","South Africa; KwaZulu-Natal; Durban",NA,"South Africa; KwaZulu-Natal; Durban",181,108,"Hooker"
"Q16232800","Duncan Taylor","1989-09-05","England; Northampton",NA,"England; Northampton",189,92,"Winger; Centre; Fullback"
"Q16233064","Liam Coltman","1990-01-25","New Zealand; New Plymouth",NA,"New Zealand; New Plymouth",185,109,"Hooker"
"Q16233075","Simon Berghan","1990-12-07","New Zealand; Christchurch",NA,"New Zealand; Christchurch",193,126,"Prop"
"Q16233083","Gareth Davies","1990-08-18","Wales; Carmarthen",NA,"Wales; Carmarthen",178,88,"Scrum-Half"
"Q16233109","Matt Duffie","1990-08-16","New Zealand; Christchurch",NA,"New Zealand; Christchurch",192,95,"Winger; Fullback"
"Q16233151","Piers Francis","1990-06-20","England; Gravesend",NA,"England; NA",183,90,"Centre"
"Q16233152","Tom Franklin","1990-08-11","New Zealand; Opotiki",NA,"New Zealand; NA",200,110,"Lock"
"Q16233222","Rob Herring","1990-04-27","South Africa; Western Cape; Cape Town",NA,"South Africa; Western Cape; Cape Town",185,102,"Hooker"
"Q16233367","Marco Fuser","1991-03-09","Italy; Veneto; Province of Treviso; Villorba",NA,"Italy; Veneto; Province of Treviso; Villorba",198,122,"Lock"
"Q16233399","Craig Millar","1990-10-29","New Zealand; Dunedin",NA,"New Zealand; Dunedin",186,116,"Prop"
"Q16233482","Sam Prattley","1990-01-16","New Zealand; Blenheim",NA,"New Zealand; Blenheim",196,116,"Prop"
"Q16233491","John Quill","1990-03-10","Republic of Ireland; County Cork; Youghal",NA,"Republic of Ireland; County Cork; NA",188,100,"Flanker"
"Q16233718","Adam Coleman","1991-10-07","Australia; Tasmania; Hobart",NA,"Australia; Tasmania; Hobart",206,122,"Lock"
"Q16233844","Jeff Hassler","1991-08-21","Canada; Alberta; Calgary",NA,"Canada; Alberta; Calgary",178,99,"Winger; Centre"
"Q16233881","John-Roy Jenkinson","1991-03-26","South Africa; Western Cape; Worcester",NA,"South Africa; Western Cape; Worcester",181,120,"Prop"
"Q16233918","Seamus Kelly","1991-05-30","United States; New York (state); New York City",NA,"United States; New York (state); New York City",181,92,"Centre"
"Q16233943","Chris Kuridrani","1991-12-12","Australia; Queensland; Brisbane",NA,"Australia; Queensland; Brisbane",189,100,"Winger"
"Q16234008","Charlie Matthews","1991-07-23","England; London; Royal Borough of Kingston upon Thames",NA,"England; London; Royal Borough of Kingston upon Thames",202,121,"Lock"
"Q16234070","Ruhan Nel","1991-05-17","South Africa; Eastern Cape; Gqeberha",NA,"South Africa; Eastern Cape; Gqeberha",191,97,"Winger; Centre; Fullback"
"Q16234072","Maritino Nemani","1991-05-24","Fiji",NA,"Fiji",181,100,"Winger; Centre"
"Q16234209","Liam Squire","1991-03-20","New Zealand; Palmerston North",NA,"New Zealand; Palmerston North",196,113,"Flanker"
"Q16234234","Sonatane Takulua","1991-01-11","Tonga; Rapaha; Lapaha",NA,"Tonga; NA; Lapaha",176,95,"Scrum-Half"
"Q16234312","Brad Weber","1991-01-17","New Zealand; Napier",NA,"New Zealand; Napier",172,75,"Scrum-Half"
"Q16234481","Elliot Daly","1992-10-08","England; London; Croydon",NA,"England; London; Croydon",184,98,"Winger; Centre; Fullback"
"Q16234621","Bryce Hegarty","1992-08-28","Australia; Brisbane",NA,"Australia; Brisbane",185,92,"Fly-Half; Fullback"
"Q16234630","Cory Hill","1992-02-10","Wales; Maeshikodo; Maesycoed",NA,"Wales; NA; Maesycoed",196,117,"Lock; Flanker"
"Q16234713","Marika Koroibete",NA,NA,NA,NA,NA,NA,NA
"Q16234744","Stephan Lewies","1992-01-27","South Africa; Gauteng; Pretoria",NA,"South Africa; Gauteng; Pretoria",198,113,"Lock"
"Q16234758","James Lowe","1992-07-08","New Zealand; Nelson",NA,"New Zealand; Nelson",188,105,"Winger; Fullback"
"Q16234852","Peter Nelson","1992-10-05","Northern Ireland; Dungannon",NA,"Northern Ireland; Dungannon",183,99,"Fullback"
"Q16234943","Semi Radradra","1992-06-13","Fiji; Suva",NA,"Fiji; Suva",190,110,"Winger; Centre; Fullback"
"Q16234993","Niall Scannell","1992-04-08","Republic of Ireland; County Cork; Cork (city)",NA,"Republic of Ireland; County Cork; Cork (city)",185,110,"Hooker"
"Q16234998","Paul Schoeman","1992-12-19","South Africa",NA,"South Africa",190,110,"Flanker; Number 8"
"Q16235024","Will Skelton","1992-05-03","Auckland",NA,"Auckland",202,140,"Lock"
"Q16235043","Ben Spencer","1992-07-31","England; Stockport",NA,"England; Stockport",178,86,"Scrum-Half"
"Q16235076","Jordan Taufua","1992-01-29","New Zealand; Auckland",NA,"New Zealand; Auckland",185,115,"Flanker; Number 8"
"Q16235117","Hencus van Wyk","1992-03-02","South Africa; Gauteng; Nigel",NA,"South Africa; Gauteng; NA",183,115,"Prop"
"Q16235302","Santiago Cordero","1993-12-06","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",175,83,"Winger; Fullback"
"Q16235393","Justin Geduld","1993-10-01","South Africa; Western Cape; Cape Town",NA,"South Africa; Western Cape; Cape Town",175,70,"Centre"
"Q16235510","Samu Kerevi","1993-09-27","Fiji; Suva",NA,"Fiji; Suva",186,106,"Centre"
"Q16235526","Cheslin Kolbe","1993-10-28","South Africa; Western Cape",NA,"South Africa; Western Cape",171,74,"Winger; Fullback"
"Q16235565","Ngani Laumape","1993-04-22","New Zealand; Palmerston North",NA,"New Zealand; Palmerston North",171,103,"Centre"
"Q16235566","Tomás Lavanini","1993-01-22","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",200,130,"Lock"
"Q16235620","Pablo Matera","1993-07-18","Argentina; Buenos Aires",NA,"Argentina; Buenos Aires",193,98,"Flanker"
"Q16235888","Jamie-Jerry Taulagi","1993-06-18","New Zealand; Auckland",NA,"New Zealand; Auckland",180,93,"Fly-Half; Winger; Fullback"
"Q16235918","Patrick Tuipulotu","1993-01-23","New Zealand; Christchurch",NA,"New Zealand; Christchurch",198,123,"Lock"
"Q16235958","Harold Vorster","1993-10-11","South Africa; Limpopo",NA,"South Africa; Limpopo",186,92,"Centre"
"Q16236079","Elliot Dee","1994-03-07","Wales; Newport",NA,"Wales; Newport",186,106,"Hooker"
"Q16236104","Mitchell Drummond","1994-02-15","New Zealand; Nelson",NA,"New Zealand; Nelson",180,86,"Scrum-Half"
"Q16236121","André Esterhuizen","1994-03-30","South Africa; North West (South African province); Potchefstroom",NA,"South Africa; North West (South African province); Potchefstroom",193,113,"Centre; Fullback"
"Q16236171","Jonny Gray","1994-03-14","Scotland; Rutherglen",NA,"Scotland; NA",198,120,"Lock"
"Q16236197","Jonny Hill","1994-06-08","England; Shropshire",NA,"England; Shropshire",200,113,"Lock"
"Q16236331","Malcolm Marx","1994-07-13","South Africa; Gauteng",NA,"South Africa; Gauteng",189,112,"Hooker"
"Q16236338","Sean McMahon","1994-06-18","Australia; Queensland; Brisbane",NA,"Australia; Queensland; Brisbane",186,102,"Flanker"
"Q16236647","Anthony Watson","1994-02-26","England; Ashford",NA,"England; NA",185,93,"Winger; Fullback"
"Q16236734","Thomas du Toit","1995-05-05","South Africa; Western Cape; Cape Town",NA,"South Africa; Western Cape; Cape Town",189,130,"Prop"
"Q16236861","Tevita Li","1995-03-23","New Zealand; Auckland",NA,"New Zealand; Auckland",182,95,"Centre"
"Q16236862","Anton Lienert-Brown","1995-04-15","New Zealand; Christchurch",NA,"New Zealand; Christchurch",185,96,"Centre"
"Q16239644","Harry Mallinder","1996-06-12","England; Trafford; Sale",NA,"England; Trafford; NA",196,112,"Fly-Half; Centre; Fullback"
"Q16263565","Shinobu Aoki","1968-01-26","Saitama Prefecture",NA,"Saitama Prefecture",NA,NA,"Fly-Half"
"Q16533360","Braam Steyn","1992-05-02","South Africa; Eastern Cape; Cradock",NA,"South Africa; Eastern Cape; Cradock",193,110,"Flanker"
"Q16640549","Guillaume Piron","1992-04-09","Belgium",NA,"Belgium",183,94,"Centre"
"Q16679970","Thomas Ramos","1995-07-23","France; Tarn (department); Mazamet",NA,"France; Tarn (department); Mazamet",178,87,"Fullback"
"Q16683742","You Young-nam","1983-10-13","South Korea",NA,"South Korea",191,100,"Lock; Flanker"
"Q16728062","Nick Civetta","1989-11-05","United States; New York (state); Scarsdale; New York",NA,"United States; New York (state); Scarsdale; New York",202,198,"Lock; Flanker"
"Q16728406","Selvyn Davids","1994-03-26","South Africa; Eastern Cape",NA,"South Africa; Eastern Cape",169,70,"Winger; Centre"
"Q16729964","Nathan Hughes","1991-06-10","Fiji; Lautoka",NA,"Fiji; Lautoka",196,126,"Number 8"
"Q16730969","Osea Kolinisau","1985-11-17","Fiji; Suva",NA,"Fiji; Suva",174,90,"Winger; Fullback"
"Q16731047","Jesse Kriel","1994-02-15","South Africa; Cape Town",NA,"South Africa; Cape Town",186,95,"Centre"
"Q16734317","Jordan Payne","1993-03-25","New Zealand",NA,"New Zealand",187,98,"Centre"
"Q16738954","Jean-Luc du Plessis","1994-05-07","South Africa; Cape Town",NA,"South Africa; Cape Town",179,87,"Fly-Half; Fullback"
"Q16762688","Michael Dowsett","1992-03-23","Australia; Sydney",NA,"Australia; Sydney",181,82,"Scrum-Half"
"Q16762737","Curtis Rona","1992-05-26","New Zealand; Waitara",NA,"New Zealand; Waitara",194,102,"Winger; Centre"
"Q16762760","Finn Russell","1992-09-23","Scotland; Bridge of Allan",NA,"Scotland; NA",182,87,"Fly-Half; Centre"
"Q16845274","Jean Kleyn","1993-08-26","South Africa; Gauteng; Linden",NA,"South Africa; Gauteng; NA",202,120,"Lock"
