"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"2621","Q28407530","Old Aloysians RFC","rugby union club",NA,NA,"Old Aloysians Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11ddxv85hf","Old_Aloysians_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Aloysians_RFC"
"2622","Q28407535","Hutchesons Aloysians","rugby union club","1990-01-01",NA,"Hutchesons Aloysians RFC; Hutchesons Aloysians Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11c5_z6gp4","Hutchesons_Aloysians",NA,NA,NA,NA,"http://dbpedia.org/resource/Hutchesons_Aloysians"
"2625","Q28495465","Union Rugby Club de Dumbéa","rugby union team","2009-01-01",NA,"URC Dumbéa",NA,"France",NA,NA,NA,NA,"Dumbéa",NA,"11c5zxq160",NA,"Union_Rugby_Club_de_Dumb%C3%A9a",NA,NA,NA,NA
"2629","Q28966513","Kelvinside-West","defunct rugby union club","1945-01-01",NA,"Kelvinside-West Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11c38sdsbv","Kelvinside-West",NA,NA,NA,NA,"http://dbpedia.org/resource/Kelvinside-West"
"2632","Q28966555","Stewart's College FP","defunct rugby union club",NA,NA,"Stewart's College Former Pupils RFC",NA,NA,NA,NA,NA,NA,NA,NA,"11g6rkfr55","Stewart%27s_College_FP",NA,NA,NA,NA,"http://dbpedia.org/resource/Stewart's_College_FP"
"2637","Q29458342","Wanderers Rugby Club","rugby union team","1920-02-01",NA,"FNB Wanderers; Wanderers RC",NA,"Namibia",NA,NA,NA,NA,NA,NA,"11dxr_dq1x",NA,"Wanderers_Rugby_Club",NA,NA,NA,NA
"2639","Q29470751","Austin Huns","rugby union team","1972-01-01",NA,"Austin Huns Rugby Club; Austin Huns Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11dxb1x13k","Austin_Huns",NA,NA,NA,NA,"http://dbpedia.org/resource/Austin_Huns"
"2643","Q30083233","Peru national under-20 rugby union team","rugby union team",NA,NA,"Los Tumis",NA,"Peru",NA,NA,NA,NA,NA,NA,"11dzdy0cjg",NA,NA,NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Per%C3%BA",NA,NA
"2645","Q30593005","Hamburg Exiles RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11c6spj3ff","Hamburg_Exiles_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Hamburg_Exiles_RFC"
"2646","Q30635588","Lloyds Bank RFC","rugby union team",NA,NA,"Lloyds Bank Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11dylqxd52","Lloyds_Bank_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Lloyds_Bank_RFC"
"2647","Q30636459","Straits Sharks","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11dylv3tc8","Straits_Sharks",NA,NA,NA,NA,"http://dbpedia.org/resource/Straits_Sharks"
"2650","Q30681107","Albania national rugby union team","national rugby union team",NA,NA,NA,NA,"Albania",NA,NA,NA,NA,NA,NA,"11g72lj2t3","Albania_national_rugby_union_team",NA,NA,NA,NA,NA
"2651","Q30685372","Berlin Bruisers","rugby union club",NA,NA,"Bruisers",NA,"Germany",NA,NA,NA,NA,NA,NA,"11dfk_p6lt","Berlin_Bruisers",NA,NA,NA,NA,"http://dbpedia.org/resource/Berlin_Bruisers"
"2654","Q30900858","Old Christians Club","rugby union team",NA,NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,"11dxl2s7_n",NA,NA,"Old_Christians_Club_(rugby)",NA,NA,NA
"2656","Q31281653","Zaharrean Rugby Taldea","rugby union team","1963-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,"San Sebastián",NA,NA,NA,NA,NA,"Zaharrean_Rugby_Taldea",NA,NA
"2657","Q31282285","Rugby Ourense Keltia","rugby union team","2014-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,"Ourense",NA,NA,NA,NA,NA,NA,NA,NA
"2666","Q39054926","Rocky Gorge Rugby","rugby union club",NA,NA,"Rocky Gorge Rugby Football Club; Rocky Gorge, Gorge",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11g9qhc5n2","Rocky_Gorge_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Rocky_Gorge_Rugby"
"2670","Q39081671","Sociedad Sportiva Argentina","defunct rugby union club","1899-09-23","1914-01-01","La Sportiva",NA,"Argentina",NA,NA,NA,NA,NA,NA,"11gb3wb1t2","Sociedad_Sportiva_Argentina",NA,NA,"Sociedad_Sportiva_Argentina",NA,NA
"2671","Q41497683","Seattle Seawolves","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"Tukwila",NA,"11gbldwqc8","Seattle_Seawolves","Seawolves_de_Seattle","Seattle_Seawolves","Seattle_Seawolves","%E3%82%B7%E3%82%A2%E3%83%88%E3%83%AB%E3%83%BB%E3%82%B7%E3%83%BC%E3%82%A6%E3%83%AB%E3%83%96%E3%82%BA","http://dbpedia.org/resource/Seattle_Seawolves"
"2673","Q42330060","Q42330060","rugby union club","1930-01-01",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,"11f_1m0p6v",NA,NA,NA,"Stade_Fran%C3%A7ais_(rugby)",NA,NA
"2675","Q42531020","New Orleans Gold","rugby union team","2017-01-01",NA,"NOLA Gold",NA,"U.S.A.",NA,NA,"Archbishop Shaw High School; Shrine on Airline",NA,NA,NA,"11f19smtl_","New_Orleans_Gold","Gold_de_La_Nouvelle-Orl%C3%A9ans",NA,"New_Orleans_Gold","%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%BA%E3%83%BB%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89","http://dbpedia.org/resource/New_Orleans_Gold"
"2676","Q42887824","Edinburgh Institution F.P.","defunct rugby union club",NA,NA,"; Edinburgh Institution Former Pupils Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,"11fz0_zf85","Edinburgh_Institution_F.P.",NA,NA,NA,NA,"http://dbpedia.org/resource/Edinburgh_Institution_F.P."
"2677","Q42956124","Austin Gilgronis","rugby union team","2017-01-01",NA,"Austin Elite; Austin Elite Rugby; Austin Herd; Gilgronis; Elite d'Austin; Herd d'Austin; オースティン・エリート; AG's",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11f2ckcwcy","Austin_Gilgronis","Gilgronis_d%27Austin",NA,"Austin_Gilgronis","%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E3%83%BB%E3%82%AE%E3%83%AB%E3%82%B0%E3%83%AD%E3%83%8B%E3%82%B9","http://dbpedia.org/resource/Austin_Gilgronis"
"2678","Q43080384","Houston SaberCats","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.","Major League Rugby",NA,"Aveva Stadium",NA,NA,NA,"11gbf8lsbc","Houston_SaberCats","SaberCats_de_Houston",NA,"Houston_SaberCats","%E3%83%92%E3%83%A5%E3%83%BC%E3%82%B9%E3%83%88%E3%83%B3%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%90%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%83%E3%83%84","http://dbpedia.org/resource/Houston_SaberCats"
"2680","Q47266251","Kenya national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,"11dfwypyq2",NA,"%C3%89quipe_du_Kenya_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Kenia",NA,NA
"2681","Q47327574","Tunisia national under-20 rugby union team","rugby union team",NA,NA,"Tunisia junior rugby union team",NA,"Tunisia",NA,NA,NA,NA,NA,NA,"11f3jyd8cr",NA,NA,NA,"Selecci%C3%B3n_juvenil_de_rugby_de_T%C3%BAnez",NA,NA
"2682","Q47488335","Rugby Club Winterthur","rugby union club","2009-03-01",NA,"RC Winterthur",NA,"Switzerland",NA,NA,"Stadion Deutweg",NA,"Winterthur",NA,"11gfjbz0ck",NA,NA,NA,NA,NA,NA
"2686","Q48773787","Cooks Hill Rugby Club","rugby union club","2007-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,"11fxf5260q","Cooks_Hill_Rugby_Club",NA,NA,NA,NA,NA
"2688","Q48835249","United States national under-19 rugby union team","rugby union team",NA,NA,"Boys High School All-Americans",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11fzd1fjdw","United_States_national_under-19_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/United_States_national_under-19_rugby_union_team"
"2690","Q48854703","Utah Warriors","rugby union club",NA,NA,"Utah Warriors (Rugby Super League); Utah Warriors RUFC; Utah Warriors Rugby Union Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11hbqlpxrh","Utah_Warriors_(Rugby_Super_League)",NA,NA,NA,NA,"http://dbpedia.org/resource/Utah_Warriors_(Rugby_Super_League)"
"2691","Q48861120","American Raptors","rugby union team","2006-01-01",NA,"Colorado Raptors; Colorado XOs; Glendale Raptors",NA,"U.S.A.",NA,NA,NA,NA,"Glendale",NA,"11bc6j88n0","American_Raptors","American_Raptors",NA,"American_Raptors","%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%83%A9%E3%83%97%E3%82%BF%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Colorado_Raptors"
"2692","Q48861132","San Diego Legion","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"San Diego",NA,"11gfm9vwj_","San_Diego_Legion","Legion_de_San_Diego",NA,"San_Diego_Legion","%E3%82%B5%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A8%E3%82%B4%E3%83%BB%E3%83%AA%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3","http://dbpedia.org/resource/San_Diego_Legion"
"2696","Q50779319","Flaming Lions Rugby Football Club","rugby union team","1999-02-26",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11f53qtkg6",NA,NA,NA,"Flaming_Lions_Rugby_Football_Club",NA,NA
"2698","Q52696564","Gijón Rugby Club","rugby union team","1995-01-01",NA,"Gijón RC",NA,"Spain",NA,NA,"Hipódromo de Las Mestas",NA,NA,NA,"11g0g4v_66",NA,NA,NA,"Gij%C3%B3n_Rugby_Club",NA,NA
"2699","Q54953803","Rugby New York","rugby union team","2018-01-01",NA,"Rugby United New York; New York, The Roosters","USA Rugby","U.S.A.","Major League Rugby",NA,"John F. Kennedy Stadium",NA,"Brooklyn",NA,"11g0gdjfxt","Rugby_New_York","Rugby_New_York","Rugby_New_York","Rugby_New_York","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%BB%E3%83%A6%E3%83%8A%E3%82%A4%E3%83%86%E3%83%83%E3%83%89%E3%83%BB%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF","http://dbpedia.org/resource/Rugby_New_York"
"2700","Q55007171","Lima Rugby Club","rugby union team","1996-04-09",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11g0sltc8m",NA,NA,NA,"Lima_Rugby_Club",NA,NA
"2701","Q55098868","London South Africa RFC","defunct rugby union club","2005-01-01",NA,"London South Africa; The Boks; London South Africa Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11f4v4vh8j","London_South_Africa_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/London_South_Africa_RFC"
"2703","Q55137438","Toronto Arrows","rugby union team","2017-08-25",NA,"Arrows de l'Ontario; Ontario Arrows; Arrows",NA,"Canada",NA,NA,NA,NA,"Toronto",NA,"11g0gdhsxm","Toronto_Arrows","Arrows_de_Toronto",NA,"Toronto_Arrows","%E3%83%88%E3%83%AD%E3%83%B3%E3%83%88%E3%83%BB%E3%82%A2%E3%83%AD%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Toronto_Arrows"
"2705","Q55178435","Jaén Rugby","rugby union team","2003-01-01",NA,NA,NA,"Spain","División de Honor B de Rugby",NA,NA,NA,"Jaén",NA,"11g0slwxm5",NA,NA,NA,"Ja%C3%A9n_Rugby",NA,NA
"2706","Q55263980","University of Michigan Rugby Football Club","rugby union team",NA,NA,"Michigan Wolverines rugby; University of Michigan; Wolverines",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11hd62qmcc","University_of_Michigan_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/University_of_Michigan_Rugby_Football_Club"
"2707","Q55318047","SA Trélissac","rugby union team","1961-01-01",NA,"SAT",NA,"France",NA,NA,NA,NA,"Trélissac",NA,"11g18_g266",NA,"Sport_athl%C3%A9tique_tr%C3%A9lissacois",NA,NA,NA,NA
"2717","Q55627303","Odisha rugby union team","rugby union club",NA,NA,NA,NA,"India",NA,NA,NA,NA,NA,NA,"11f6gjj7p2","Odisha_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Odisha_rugby_union_team"
"2720","Q55641528","RC Academy Tbilisi","rugby union team",NA,NA,"RC Academy Tbilissi; Rugby Club Academy Tbilisi; Akademia",NA,"Georgia",NA,NA,NA,NA,NA,NA,"11clt0tjyb","RC_Academy_Tbilisi","Rugby_Club_Akademia_Tbilissi",NA,NA,NA,"http://dbpedia.org/resource/RC_Academy_Tbilisi"
"2721","Q55812022","Alumni Rugby Club","rugby union team","2000-01-01",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11f7dt7_tq",NA,NA,NA,"Alumni_Rugby_Club",NA,NA
"2722","Q56251781","Osos del Pardo Rugby Club","rugby union team",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,"Madrid",NA,NA,NA,NA,NA,NA,NA,NA
"2723","Q56291293","ACS Tomitanii Constanța","rugby union club",NA,NA,"Asociația Clubul Sportiv Tomitanii Constanța",NA,"Romania",NA,NA,NA,NA,NA,NA,"11gm7gmf4c","ACS_Tomitanii_Constan%C8%9Ba",NA,NA,NA,NA,"http://dbpedia.org/resource/ACS_Tomitanii_Constanța"
"2724","Q56291299","SCM Gloria Buzău","rugby union team","2005-01-01",NA,"SCM Gloria Buzău (rugby union); Gloria Buzău; Sport Club Muncipial Gloria Buzău",NA,"Romania",NA,NA,NA,NA,NA,NA,"11g4cxdz9m","SCM_Gloria_Buz%C4%83u_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/SCM_Gloria_Buzău_(rugby_union)"
"2725","Q56305829","Wydad Athletic Club","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11f61559_9",NA,"Wydad_Athletic_Club_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"2727","Q56844124","Rugby Club Chilly-Mazarin","rugby union team",NA,NA,NA,NA,"France",NA,NA,"Sports complex Jesse Owens",NA,"Chilly-Mazarin",NA,"11gnrlzbqf",NA,"Rugby_Club_Chilly-Mazarin",NA,NA,NA,NA
"2728","Q58354783","Warlingham Rugby Football Club","rugby union club","1922-09-04",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2729","Q59474562","Lausanne Université Club Rugby","rugby union team",NA,NA,NA,NA,"Switzerland",NA,NA,NA,NA,NA,NA,"11fj0_znqp",NA,"Lausanne_Universit%C3%A9_Club_Rugby",NA,NA,NA,NA
"2730","Q60619897","Berlin Grizzlies","rugby union club",NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,"11fjn2lwht",NA,NA,NA,NA,NA,NA
"2731","Q60747040","New England Free Jacks","rugby union team","2018-09-21",NA,NA,NA,"U.S.A.","Major League Rugby",NA,"Veterans Memorial Stadium","5000",NA,NA,"11fd6dj2yn","New_England_Free_Jacks","Free_Jacks_de_la_Nouvelle-Angleterre",NA,"New_England_Free_Jacks","%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%82%B9","http://dbpedia.org/resource/New_England_Free_Jacks"
"2733","Q60747726","Rugby ATL","rugby union team",NA,NA,"Rattlers",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11gv06p7_h",NA,"Rugby_ATL",NA,NA,"%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BCATL","http://dbpedia.org/resource/Rugby_ATL"
"2736","Q60775551","Old Glory DC","rugby union team",NA,NA,"Old Glory DC RFC",NA,NA,NA,NA,NA,NA,NA,NA,"11gt__jyr0","Old_Glory_DC","Old_Glory_DC",NA,"Old_Glory_DC","%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BCDC","http://dbpedia.org/resource/Old_Glory_DC"
"2737","Q60784999","South China Tigers","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11h1t0zf92","South_China_Tigers",NA,NA,"South_China_Tigers",NA,"http://dbpedia.org/resource/South_China_Tigers"
"2742","Q61790123","Budo 2011 Aleksandrów Łódzki","rugby union club","2011-01-01",NA,NA,NA,"Poland",NA,NA,NA,NA,"Łódź",NA,"11h06m97nz",NA,"Budo_2011_Aleksandr%C3%B3w_%C5%81%C3%B3dzki",NA,NA,NA,NA
"2743","Q62006391","France national under-21 rugby union team","rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2744","Q62615889","U.R. L’Aquila","rugby union team","2018-01-01",NA,"Unione Rugby L’Aquila; ur l'aquila; UR L’Aquila","Italian Rugby Federation","Italy","Serie A",NA,NA,NA,"L'Aquila",NA,NA,NA,NA,NA,NA,NA,NA
"2745","Q62911900","Belgium Rugby Barbarians XV","rugby union team","2018-01-01",NA,"Belgium Barbarians XV",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2750","Q64240978","Club de Rugby Santander","rugby union club","2007-01-01",NA,"Bathco Rugby; Bathco Rugby Club",NA,"Spain",NA,NA,NA,NA,NA,NA,"11flggt1v5","Club_de_Rugby_Santander",NA,NA,"Club_de_Rugby_Santander",NA,"http://dbpedia.org/resource/Club_de_Rugby_Santander"
"2751","Q64616117","Kagifa Samoa","rugby union team",NA,NA,"Manuma Samoa",NA,NA,NA,NA,NA,NA,NA,NA,"11fkbdlc2f","Manuma_Samoa",NA,NA,"Manuma_Samoa",NA,"http://dbpedia.org/resource/Manuma_Samoa"
"2756","Q65042938","Milwaukee Barbarians","rugby union club",NA,NA,"Milwaukee Barbarians Athletic Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11hy9tr1g3","Milwaukee_Barbarians",NA,NA,NA,NA,"http://dbpedia.org/resource/Milwaukee_Barbarians"
"2757","Q65043244","Drumchapel RFC","rugby union team",NA,NA,"Drumchapel Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11h7nbgrcc","Drumchapel_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Drumchapel_RFC"
"2771","Q65065510","Melville College FP","defunct rugby union club",NA,NA,"Melville College Former Pupils Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11h6yw02tn","Melville_College_FP",NA,NA,NA,NA,"http://dbpedia.org/resource/Melville_College_FP"
"2772","Q65067838","Hawick Trades","rugby union club",NA,NA,"Hawick Trades Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11h1dnydm1","Hawick_Trades",NA,NA,NA,NA,"http://dbpedia.org/resource/Hawick_Trades"
"2774","Q65068423","Penguin International RFC","rugby union team",NA,NA,"Penguin International Rugby Football Club; Penguins",NA,NA,NA,NA,NA,NA,NA,NA,"11h77pr4rf","Penguin_International_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Penguin_International_RFC"
"2782","Q65087582","Metropolis RFC","rugby union club",NA,NA,"Metropolis Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11h0v8yqsn","Metropolis_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Metropolis_RFC"
"2783","Q65087604","Columbus RFC","rugby union club",NA,NA,"Columbus RFC (Ohio); Columbus Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,"11h0v8y_h_","Columbus_RFC_(Ohio)",NA,NA,NA,NA,"http://dbpedia.org/resource/Columbus_RFC_(Ohio)"
"2787","Q65165207","Jaguares XV","rugby union club","2019-01-01",NA,NA,NA,"Argentina","Super Liga Americana de Rugby",NA,NA,NA,NA,NA,"11h0ykp5l5",NA,NA,NA,"Jaguares_XV","%E3%83%8F%E3%82%B0%E3%82%A2%E3%83%AC%E3%82%B9XV",NA
"2789","Q65271278","Tokyo Sankyu Phoenix","rugby union team",NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,"11fk_8fh8r","Tokyo_Sankyu_Phoenix",NA,NA,NA,"%E6%9D%B1%E4%BA%AC%E5%B1%B1%E4%B9%9D%E3%83%95%E3%82%A7%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9",NA
"2790","Q65295202","Clwb Rygbi Machynlleth","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2791","Q65295409","Clwb Rygbi Cymry Caerdydd","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2793","Q66314447","Olympique de Nouméa rugby","rugby union team","1955-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Nouméa",NA,NA,NA,NA,NA,NA,NA,NA
"2794","Q67087991","Lokomotiv Penza","rugby union club",NA,NA,"Lokomotiv; Регбийный клуб «Локомотив Пенза»",NA,"Russia",NA,NA,"Stade Pervomaisky",NA,NA,NA,"11hzv3kqm0","Lokomotiv_Penza","Lokomotiv_Penza",NA,NA,"%E3%83%AD%E3%82%B3%E3%83%A2%E3%83%86%E3%82%A3%E3%83%96%E3%83%BB%E3%83%9A%E3%83%B3%E3%82%B6","http://dbpedia.org/resource/Lokomotiv_Penza"
"2799","Q67913290","Hawick and Wilton RFC","rugby union team",NA,NA,"Hawick and Wilton Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11hzcy9_tz","Hawick_and_Wilton_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Hawick_and_Wilton_RFC"
"2811","Q68377644","Cartha RFC","rugby union team",NA,NA,"Cartha Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11hzy8n8pl","Cartha_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Cartha_RFC"
"2812","Q68377650","Queens Park F.P.","rugby union team",NA,NA,"Queens Park Former Pupils Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11fmzt9b7t","Queens_Park_F.P.",NA,NA,NA,NA,"http://dbpedia.org/resource/Queens_Park_F.P."
"2813","Q70203473","Bizkarians Rugby Elkartea","rugby union club","2011-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2814","Q70243155","RC CSKA Moscow","rugby union club",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,"Moscow",NA,"11fzsd8qp5",NA,"RC_CSKA_Moscou",NA,NA,NA,NA
"2815","Q73631367","Gòtics RC","rugby union team","1984-01-01",NA,"Gòtics Rugby Club",NA,"Spain",NA,NA,"Camp Municipal de Rugby La Foixarda",NA,"Barcelona",NA,"11h8brzw71","G%C3%B2tics_RC",NA,NA,"G%C3%B2tics_Rugby_Club",NA,"http://dbpedia.org/resource/Gòtics_RC"
"2817","Q74110776","Detroit Tradesmen","rugby union club","1978-01-01",NA,"Detroit Tradesmen Rugby Club",NA,"U.S.A.",NA,NA,NA,NA,"Detroit",NA,"11hzdqwydj","Detroit_Tradesmen",NA,NA,NA,NA,"http://dbpedia.org/resource/Detroit_Tradesmen"
"2818","Q74115763","Ballina Seahorses","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11fmzcj8s9","Ballina_Seahorses",NA,NA,NA,NA,NA
"2823","Q83558260","Ceibos Rugby","rugby union team","2019-01-01","2023-01-01","Ceibos; Los Ceibos",NA,"Argentina","Super Liga Americana de Rugby",NA,NA,NA,"Córdoba",NA,"11frs28f9k",NA,NA,NA,"Ceibos_Rugby","%E3%82%BB%E3%82%A4%E3%83%9C%E3%82%B9","http://dbpedia.org/resource/Ceibos"
"2824","Q83864890","Peñarol Rugby","rugby union team","2020-01-01",NA,"Carbonero; Club Atlético Peñarol de Rugby",NA,"Uruguay","Super Liga Americana de Rugby",NA,"Estadio Charrúa",NA,NA,NA,"11frqwfzq9","Pe%C3%B1arol_Rugby","Pe%C3%B1arol_Rugby",NA,"Pe%C3%B1arol_Rugby","%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC","http://dbpedia.org/resource/Peñarol_Rugby"
"2825","Q83867801","Yacare XV","rugby union team","2019-01-01",NA,"Olimpia Lions; Olímpia Lions; Club Olímpia Lions",NA,"Paraguay","Super Liga Americana de Rugby",NA,NA,NA,"Asunción",NA,"11frs2ch_f","Yacare_XV","Yacare_XV",NA,"Yacare_XV","%E3%82%B8%E3%83%A3%E3%82%AB%E3%83%ACXV","http://dbpedia.org/resource/Olímpia_Lions"
"2826","Q84348017","Selknam","rugby union team",NA,NA,"Selknam (rugby union)",NA,"Chile",NA,NA,NA,NA,NA,NA,"11j7vj9gcn","Selknam_(rugby_union)","Selknam_(rugby_%C3%A0_XV)",NA,"Selknam_Rugby","%E3%82%BB%E3%83%AB%E3%82%AF%E3%83%8A%E3%83%A0_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/Selknam_(rugby_union)"
"2829","Q85748766","Brazil national under-20 rugby union team","rugby union team",NA,NA,"Seleccion juvenil de rugby de Brasil; Tupis",NA,"Brazil",NA,NA,NA,NA,NA,NA,"11b81xpdx1","Brazil_national_under-20_rugby_union_team","%C3%89quipe_du_Br%C3%A9sil_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Brasil",NA,"http://dbpedia.org/resource/Brazil_national_under-20_rugby_union_team"
"2830","Q85754086","Cobras Brasil XV","rugby union team","2021-01-01",NA,"Cobras Brazil; Cobras Rugby; Corinthians Rugby",NA,"Brazil",NA,NA,NA,NA,NA,NA,"11j2ltspk8","Cobras_Brasil_XV","Cobras",NA,"Cobras_Brasil_Rugby","%E3%82%B3%E3%83%96%E3%83%A9%E3%82%B9%E3%83%BB%E3%83%96%E3%83%A9%E3%82%B8%E3%82%A6XV","http://dbpedia.org/resource/Cobras_Brasil_XV"
"2831","Q85758377","East of Scotland District","rugby union team",NA,NA,"East of Scotland District (rugby union); East of Scotland",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11j84w5rs5","East_of_Scotland_District_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/East_of_Scotland_District_(rugby_union)"
