"clubId","clubLabel","clubTypeLabel","inceptionMax","inceptionFormat","terminationMax","terminationFormat","nickmaneLabels","affiliationLabels","countryLabels","competitionLabels","homeVenueLabels","homeVenueCapacities","locationLabels","AllRugbyIDs","GoogleKnowlIDs"
"Q1393650","Sharks","rugby union club","1996-01-01","1996-1-1",NA,NA,NA,NA,"South Africa",NA,"Kings Park Stadium",NA,"Durban",NA,NA
"Q1403018","Malta national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Malta",NA,NA,NA,NA,NA,NA
"Q1407380","US Colomiers","rugby union club","1915-01-01","1915-1-1",NA,NA,NA,NA,"France","Pro D2","Stade Michel Bendichou",NA,"Colomiers",NA,NA
"Q1419899","Russia national rugby union team","national rugby union team","1992-10-11","1992-10-11",NA,NA,"Медведи",NA,"Russia",NA,NA,NA,NA,NA,NA
"Q1420748","Velencei Kék Cápák RK","rugby union team","2004-01-01","2004-1-1",NA,NA,NA,NA,"Hungary",NA,NA,NA,NA,NA,NA
"Q1422627","SU Agen Lot-et-Garonne","rugby union club","1908-01-01","1908-1-1",NA,NA,NA,"French Rugby Federation","France","Top 14","Stade Armandie","14042","Agen",NA,NA
"Q1435989","Kyrgyzstan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Kyrgyzstan",NA,NA,NA,NA,NA,NA
"Q145281","Aironi","defunct rugby union club","2010-01-01","2010-1-1","2012-01-01","2012-1-1",NA,"Italian Rugby Federation","Italy",NA,"Luigi Zaffanella Stadium","6000","Viadana",NA,NA
"Q1471265","USA Perpignan","rugby union club","1933-05-05","1933-5-5",NA,NA,"Els catalans","French Rugby Federation","France","Top 14","Stade Aimé Giral","16593","Perpignan",NA,NA
"Q14715159","Yale Rugby","rugby union team","1875-01-01","1875-1-1",NA,NA,NA,NA,"United States of America","Ivy Rugby Conference",NA,NA,NA,NA,NA
"Q1473374","Leinster Rugby","rugby union franchise","1875-01-01","1875-1-1",NA,NA,NA,"Irish Rugby Football Union","Ireland","United Rugby Championship","RDS Arena","18000","Dublin","leinster",NA
"Q1473503","SC Albi","rugby union club","1906-01-01","1906-1-1",NA,NA,NA,NA,"France",NA,"Stadium Municipal d'Albi",NA,"Albi",NA,NA
"Q1475539","Thailand national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Thailand",NA,NA,NA,NA,NA,NA
"Q1476647","Wellington Rugby Football Union","rugby union team","1879-01-01","1879-1-1",NA,NA,"the Lions","New Zealand Rugby","New Zealand","ITM Cup","Wellington Regional Stadium","34500","Wellington",NA,NA
"Q14853450","NSRV Obelix","rugby union club",NA,NA,NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA
"Q1490464","Maori All Blacks team","rugby union team","1888-01-01","1888-1-1",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA
"Q15055309","Section Paloise","rugby union club","1902-01-01","1902-1-1",NA,NA,NA,"French Rugby Federation","France","Top 14","Stade du Hameau","14999","Pau",NA,NA
"Q15055320","Rugby Ottignies Club","rugby union team","1977-03-01","1977-3-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q15055370","Luxembourg women's national rugby union team","rugby union team",NA,NA,NA,NA,NA,NA,"Luxembourg",NA,NA,NA,NA,NA,NA
"Q15141543","Rugby Leonessa 1928","defunct rugby union club","2002-01-01","2002-1-1","2008-01-01","2008-1-1",NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA
"Q1517603","Llanelli RFC","rugby union team","1872-01-01","1872-1-1",NA,NA,NA,NA,"United Kingdom",NA,"Parc y Scarlets",NA,NA,NA,NA
"Q1518257","Ospreys","rugby union club","2003-01-01","2003-1-1",NA,NA,NA,NA,"United Kingdom","United Rugby Championship","Liberty Stadium",NA,NA,"ospreys",NA
"Q1521264","Newport RFC","rugby union team","1874-01-01","1874-1-1",NA,NA,NA,NA,"United Kingdom",NA,"Rodney Parade",NA,NA,NA,NA
"Q15223071","Harpenden RFC","rugby union team","1919-01-01","1919-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q15248449","Marlow Rugby Union Football Club","rugby union team","1947-01-01","1947-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q1529911","Luxembourg national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Luxembourg",NA,"Stade Josy Barthel; Stade Boy Konen",NA,NA,NA,NA
"Q15364456","RK Čelik","rugby union team","1972-01-01","1972-1-1",NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA
"Q15408625","Regbio klubas Lūšis","rugby union team",NA,NA,NA,NA,NA,NA,"Lithuania",NA,NA,NA,NA,NA,NA
"Q1543491","VVA-Podmoskovye Monino","rugby union club","1967-01-01","1967-1-1",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA
"Q1544234","Uzbekistan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,NA,NA,NA,NA
"Q1544873","Zimbabwe national rugby union team","national rugby union team","1910-07-30","1910-7-30",NA,NA,"Sables",NA,"Zimbabwe",NA,NA,NA,NA,NA,NA
"Q1548720","Ulster Rugby","rugby union club","1879-01-01","1879-1-1",NA,NA,NA,"Irish Rugby Football Union","United Kingdom","United Rugby Championship","Ravenhill Stadium","18000","Belfast",NA,NA
"Q15615907","RK Vitez","rugby union team",NA,NA,NA,NA,NA,NA,"Croatia",NA,NA,NA,NA,NA,NA
"Q15622257","Lusitanos XV","rugby union team","2013-09-02","2013-9-2",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q15713287","RC Locomotive Tbilisi","rugby union team",NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,"Tbilisi",NA,NA
"Q15781824","Afghanistan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Afghanistan",NA,NA,NA,NA,NA,"12z84pxxk"
"Q1591699","Hawke’s Bay RU","rugby union team","1884-01-01","1884-1-1",NA,NA,NA,NA,"New Zealand",NA,NA,NA,"Napier",NA,NA
"Q1606325","Soviet Union national rugby union team","national rugby union team","1974-08-05","1974-8-5",NA,NA,NA,NA,"Soviet Union",NA,NA,NA,NA,NA,NA
"Q1608682","Monaco national rugby union team","national rugby union team","1996-01-01","1996-1-1",NA,NA,NA,NA,"Monaco",NA,NA,NA,NA,NA,NA
"Q16113601","RK Lokomotiva","rugby union team","1968-09-18","1968-9-18",NA,NA,NA,"Croatian Rugby Federation","Croatia",NA,NA,NA,NA,NA,"1215pmcq"
"Q16115123","Q16115123","rugby union team","1968-01-01","1968-1-1",NA,NA,NA,"Croatian Rugby Federation","Croatia","Q12640601",NA,NA,"Makarska",NA,"121p6rj7"
"Q16150147","Old Alleynian Football Club","rugby union team","1898-01-01","1898-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16156035","Q16156035","rugby union team",NA,NA,NA,NA,NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,"1yjg7xg0g"
"Q1620798","Trinidad and Tobago national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Trinidad and Tobago",NA,NA,NA,NA,NA,NA
"Q1621334","Bermuda national rugby union team","national rugby union team","1975-01-01","1975-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q1621341","Bahamas national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"The Bahamas",NA,NA,NA,NA,NA,NA
"Q1621555","Cayman Islands national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Cayman Islands",NA,NA,NA,NA,NA,NA
"Q1621574","Costa Rica national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Costa Rica",NA,NA,NA,NA,NA,NA
"Q1621823","Estonia national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Estonia",NA,NA,NA,NA,NA,NA
"Q1622110","RC Rottweil","rugby union team","1970-01-01","1970-1-1",NA,NA,NA,NA,"Germany",NA,NA,NA,"Rottweil",NA,NA
"Q1622363","San Marino national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"San Marino",NA,NA,NA,NA,NA,NA
"Q1622658","Mauritius national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Mauritius",NA,NA,NA,NA,NA,NA
"Q1622752","German Democratic Republic national rugby union team","national rugby union team","1951-10-21","1951-10-21","1990-09-15","1990-9-15",NA,NA,"German Democratic Republic",NA,NA,NA,NA,NA,NA
"Q16240983","Bracknell RFC","rugby union team","1955-01-01","1955-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16242778","Alnwick RFC","rugby union team","1960-01-01","1960-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16250973","Yugoslavia national rugby union U19 team","national rugby union team",NA,NA,NA,NA,NA,NA,"Socialist Federal Republic of Yugoslavia",NA,NA,NA,NA,NA,NA
"Q16253642","London French RFC","rugby union team","1959-01-01","1959-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16257741","Kisumu RFC","rugby union team",NA,NA,NA,NA,NA,NA,"Kenya","Nationwide League",NA,NA,"Kisumu",NA,NA
"Q16266475","Rugby Club Leuven","rugby union team","1983-01-01","1983-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q1628212","Cahors Rugby","rugby union team","1908-01-01","1908-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Cahors",NA,NA
"Q1632899","Barbados national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Barbados",NA,NA,NA,NA,NA,NA
"Q1634037","El Salvador national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"El Salvador",NA,NA,NA,NA,NA,NA
"Q1634636","Qatar national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Qatar",NA,NA,NA,NA,NA,NA
"Q1634654","Catalonia national rugby union team","rugby union team","1934-04-14","1934-4-14",NA,NA,"El XV de la ginesta",NA,"Spain",NA,"Camp Municipal de Rugby La Foixarda","800",NA,NA,NA
"Q1634699","Jordan national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Jordan",NA,NA,NA,NA,NA,NA
"Q1634826","Turkey national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Turkey",NA,NA,NA,NA,NA,NA
"Q1638171","USA Limoges","rugby union team","1902-01-01","1902-1-1",NA,NA,NA,NA,"France",NA,"Q3496152",NA,"Limoges",NA,NA
"Q16382410","Q16382410","rugby union club","1969-01-01","1969-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Agde",NA,"12tb8681l"
"Q16540514","Q16540514","rugby union team","1995-01-01","1995-1-1",NA,NA,NA,NA,"France",NA,NA,NA,"Lormont",NA,"12mkyv5t_"
"Q165586","Nottingham R.F.C.","rugby union club","1871-01-01","1871-1-1",NA,NA,NA,NA,"United Kingdom",NA,"Meadow Lane",NA,NA,NA,NA
"Q16599080","Q16599080","rugby union team",NA,NA,NA,NA,NA,"Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,"12b02tqh0"
"Q1661537","India national rugby union team","national rugby union team","1998-10-26","1998-10-26",NA,NA,NA,NA,"India",NA,NA,NA,NA,NA,NA
"Q16619242","Q16619242","rugby union team","2010-01-01","2010-1-1",NA,NA,NA,"Italian Rugby Federation","Italy",NA,NA,NA,"Perugia",NA,"1ydxpyq1b"
"Q16656682","RC Kredo-63","rugby union club","1963-01-01","1963-1-1",NA,NA,NA,NA,"Ukraine",NA,NA,NA,NA,NA,NA
"Q16672727","ROC La Voulte-Valence","rugby union team","2010-01-01","2010-1-1","2016-06-30","2016-6-30",NA,NA,"France",NA,"Stade Georges Pompidou",NA,"Valence",NA,"12dpx18wd"
"Q16677846","Q16677846","rugby union club","1903-10-15","1903-10-15",NA,NA,NA,NA,"France",NA,NA,NA,"Cavaillon",NA,"12dpwrj6g"
"Q16705877","RC TEX-A-C","rugby union club","2002-01-01","2002-1-1",NA,NA,NA,NA,"Ukraine",NA,NA,NA,NA,NA,NA
"Q16722629","Yuzhnoe Tushino Rugby Club","rugby union club","1994-01-01","1994-1-1",NA,NA,NA,NA,"Russia",NA,NA,NA,NA,NA,"1yg58jshg"
"Q16736340","Brussels Celtic RFC","rugby union team","1998-01-01","1998-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q16739921","Judgement Day","rugby union team","2003-01-01","2003-1-1",NA,NA,NA,NA,"Italy",NA,NA,NA,NA,NA,NA
"Q16740012","RC Hamme","rugby union team",NA,NA,NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q1675853","Ivory Coast national rugby union team","national rugby union team","1976-01-01","1976-1-1",NA,NA,"Éléphants",NA,"Ivory Coast",NA,NA,NA,NA,NA,NA
"Q16765172","Alba Rumburk","rugby union team",NA,NA,NA,NA,NA,NA,"Czech Republic",NA,NA,NA,"Rumburk",NA,"11b5m9pxlx"
"Q16822225","Regbio klubas Ąžuolas","rugby union team",NA,NA,NA,NA,NA,NA,"Lithuania",NA,NA,NA,NA,NA,NA
"Q16838996","Gibraltar national rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q16839918","Belas Rugby Clube","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16842085","Hartpury University RFC","rugby union club","2004-01-01","2004-1-1",NA,NA,NA,NA,"United Kingdom",NA,"ALPAS Arena",NA,"Hartpury",NA,NA
"Q16848650","Ragbi klub Budućnost","rugby union team",NA,NA,NA,NA,NA,NA,"Montenegro",NA,NA,NA,NA,NA,NA
"Q16849635","Bury St Edmunds RUFC","rugby union team","1925-01-01","1925-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16919837","Antwerp RC","rugby union team","1998-01-01","1998-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,"Antwerp",NA,NA
"Q16920257","Romania national under-20 rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"Romania",NA,NA,NA,NA,NA,NA
"Q16920325","VRK Tigrarna","rugby union team",NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,NA,NA,NA,NA
"Q16920545","Tešanj RK","rugby union team",NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA
"Q16920702","Rugby Clube de Elvas","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16929856","Rugby Vila da Moita","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16930593","IP Tomar Rugby","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16931617","RC Kochebi Bolnisi","rugby union team",NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,"Bolnisi",NA,NA
"Q16932226","Laugharne RFC","rugby union team","1893-01-01","1893-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16932231","Peebles RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16932544","Les Quennevais Rugby Club, Jersey","rugby union team","1980-01-01","1980-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q16932957","Sale FC Rugby Club","rugby union club","1861-01-01","1861-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,"Sale",NA,NA
"Q16933108","Grenå RK","rugby union team",NA,NA,NA,NA,NA,NA,"Denmark",NA,NA,NA,NA,NA,NA
"Q16933489","Neyland RFC","rugby union team","1885-01-01","1885-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16934210","Shawlands FP RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16935166","Clube de Rugby de Évora","rugby union team","1992-01-01","1992-1-1",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16935435","RK Gladijatori Derventa","rugby union team",NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA
"Q16935504","Whitecraigs RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16937052","Tecnologia","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16937055","Jerusalem Lions RFC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q16938068","RK Warriors Nemila","rugby union team",NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA
"Q16938644","Moita Rugby Clube da Bairrada","rugby union team","1984-01-01","1984-1-1",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16938760","RK Rudar","rugby union team","1982-01-01","1982-1-1",NA,NA,NA,NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA
"Q16938847","Rugby Clube Montemor","rugby union team","1995-07-20","1995-7-20",NA,NA,NA,NA,"Portugal",NA,NA,NA,"Montemor-o-Novo",NA,"11fpp3k0wm"
"Q16939025","RK Herceg","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q16944491","Sandviken RC","rugby union team","1983-01-01","1983-1-1",NA,NA,NA,NA,"Sweden",NA,NA,NA,NA,NA,NA
"Q16947296","Ubuntu Rugby","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16947316","Rhinos Rugby Oudenaarde","rugby union team","1999-01-01","1999-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q16948326","Rugby da Universidade de Aveiro","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16948704","Sporting Clube de Portugal (Rugby)","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16951730","Billericay Rugby Football Club","rugby union team","1956-01-01","1956-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16954353","Buenos Aires Football Club 1886","rugby union team","1886-01-01","1886-1-1","1951-01-01","1951-1-1",NA,NA,"Argentina",NA,"Buenos Aires Cricket Club Ground",NA,NA,NA,NA
"Q16956690","Stockholm Berserkers RFC","rugby union team","2011-01-01","2011-1-1",NA,NA,NA,NA,"Sweden",NA,NA,NA,NA,NA,NA
"Q16957781","Guimarães RUFC","rugby union team","2008-01-01","2008-1-1",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16958426","Cinderford RFC","rugby union club","1886-01-01","1886-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,"Cinderford",NA,NA
"Q16958647","City of Armagh RFC","rugby union team","1875-01-01","1875-1-1",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,NA,NA
"Q16963555","Clube Rugby Famalicão","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16963576","Rugby Clube de Loulé","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16965342","RC Lousã","rugby union team",NA,NA,NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16966045","Clube Rugby São Miguel","rugby union team","1970-01-01","1970-1-1",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q16969795","Campbelltown Harlequins RFC","rugby union club","1972-01-01","1972-1-1",NA,NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA
"Q16971387","RC Unterföhring","rugby union team",NA,NA,NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA
"Q16973676","Devonport Services R.F.C.","rugby union team","1904-01-01","1904-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16975875","Regbio klubas Vairas","rugby union team",NA,NA,NA,NA,NA,NA,"Lithuania",NA,NA,NA,NA,NA,NA
"Q16976488","Sligo RFC","rugby union team","1890-01-01","1890-1-1",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,NA,NA
"Q16980289","BrigandZe Rugby Compagnie","rugby union team","2008-01-01","2008-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q16980460","Louisiana State University rugby","rugby union team",NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA
"Q16980465","University of Northern Colorado Rugby Football Club","rugby union team",NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA
"Q16989264","East Grinstead Rugby Football Club","rugby union team","1929-01-01","1929-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16992225","Flamingoes F.C.","rugby union team","1866-01-01","1866-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16992836","Gilfach Goch RFC","rugby union team","1889-01-01","1889-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16993693","Harris Academicals RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16993957","Hereford Rugby Club","rugby union team","1870-01-01","1870-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q169941","Cardiff Rugby","rugby union club","2003-01-01","2003-1-1",NA,NA,NA,"Welsh Rugby Union","United Kingdom","United Rugby Championship","Cardiff Arms Park","12125","Cardiff",NA,NA
"Q16994142","Holbeck Rugby Club","rugby union team",NA,NA,"1904-01-01","1904-1-1",NA,NA,"United Kingdom",NA,"Holbeck Recreation ground; Elland Road",NA,NA,NA,NA
"Q16994364","Hove Rugby Football Club","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16994425","Hull RUFC","rugby union team","1992-01-01","1992-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16996774","Llanharan RFC","rugby union team","1891-01-01","1891-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16996776","Llantwit Major RFC","rugby union team","1889-01-01","1889-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16996879","London Irish Amateur","rugby union team","1999-01-01","1999-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16997117","Luton Rugby Club","rugby union team","1930-01-01","1930-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16997369","Market Bosworth RFC","rugby union team","1965-01-01","1965-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16998881","Newlyn RFC","rugby union team","1894-01-01","1894-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16998904","Newport Saracens RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16998949","Newtown RFC","rugby union team","1925-01-01","1925-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q16999348","Yizre'el RC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q17004850","RC Army Tbilisi","rugby union team",NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,NA,NA,NA
"Q17013357","Meraloma Rugby","rugby union team","1923-01-01","1923-1-1",NA,NA,NA,NA,"Canada",NA,NA,NA,"Vancouver",NA,NA
"Q17015680","Nottinghamians","rugby union team","1971-01-01","1971-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17015687","Wasps Ladies","rugby union team","1984-01-01","1984-1-1",NA,NA,NA,NA,"United Kingdom","Premier 15s",NA,NA,"London",NA,NA
"Q17015723","Kenfig Hill RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17015840","Old Centralians","rugby union team","1982-01-01","1982-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17015857","Old Colfeians","rugby union team","1928-01-01","1928-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17016156","Paignton Rugby Football Club","rugby union team","1873-01-01","1873-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17016373","Percy Park RFC","rugby union team","1872-01-01","1872-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17017546","Ruthin RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17017658","Old Halesonians RFC","rugby union team","1930-01-01","1930-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17020391","Thomas Cook's Rugby Club","rugby union team","1910-01-01","1910-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17020452","Tiverton Rugby Club","rugby union team","1868-01-01","1868-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17020492","Sandal RUFC","rugby union team","1927-01-01","1927-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17020879","Treherbert RFC","rugby union team","1879-01-01","1879-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17020913","Trimsaran RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17021051","Uddingston RFC","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17021567","Warwickian Rugby Union Football Club","rugby union team",NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17022509","Worcester Wanderers","rugby union team","1871-01-01","1871-1-1",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA
"Q17041092","Seattle Saracens","rugby union team","2007-01-01","2007-1-1",NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA
"Q17048436","AA UTAD Rugby","rugby union team","1984-01-01","1984-1-1",NA,NA,NA,NA,"Portugal",NA,NA,NA,NA,NA,NA
"Q17055384","New Zealand national schoolboy rugby union team","national rugby union team",NA,NA,NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA
"Q17071512","Worcester Valkyries","rugby union team","1993-01-01","1993-1-1",NA,NA,NA,NA,"United Kingdom","Premier 15s",NA,NA,"Worcester",NA,NA
"Q17072098","RC Lelo Tbilisi","rugby union club","1969-01-01","1969-1-1",NA,NA,NA,NA,"Georgia",NA,NA,NA,"Tbilisi",NA,NA
"Q17075411","Lanús Rugby Club","rugby union club","1980-10-01","1980-10-1",NA,NA,NA,NA,"Argentina",NA,NA,NA,"Remedios de Escalada",NA,NA
"Q17086722","Tullamore RFC","rugby union team","1937-01-01","1937-1-1",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,NA,NA
"Q17087005","South Africa President's XV","national rugby union team",NA,NA,NA,NA,NA,NA,"South Africa",NA,NA,NA,NA,NA,NA
"Q17100441","RC Murphy's Lommel","rugby union team","2006-01-01","2006-1-1",NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
"Q17100540","Mechelen RFC","rugby union team",NA,NA,NA,NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA
