name,dob,pob,height,weight,no_position,is_still_playing,no_senior_club,senior_club_start,senior_club_end,senior_club_apps,senior_club_points,no_internaional_club,internaional_club_start,internaional_club_end,internaional_club_apps,internaional_club_points
Ronan O'Gara,1977-03-07,"san diego,california, u.s.",1.83,84.0,1,False,1,1997,2013,240,2625,3,1999,2013,131,1083
Peter Stringer,1977-12-13,"cork,ireland",1.71,73.0,1,False,6,1998,2018,353,90,3,2000,2011,103,30
Simon Easterby,1975-07-21,"harrogate, yorkshire, england",1.93,100.0,1,False,3,1998,2010,207,105,2,2000,2008,67,45
John Hayes,1973-11-02,"dromsally,county limerick, ireland",1.93,128.0,1,False,1,1998,2011,217,20,2,2000,2011,107,10
Geordan Murphy,1978-04-19,"dublin, ireland",1.85,87.0,2,False,1,1997,2013,322,657,3,2000,2011,80,105
Guy Easterby,1971-03-21,"tadcaster,west riding of yorkshire",1.83,94.0,1,False,6,1996,2008,56,25,1,2000,2005,28,30
Frankie Sheahan,1976-08-27,"toronto,canada",1.8,107.0,1,False,1,1996,2009,163,110,2,1999,2008,35,25
David Wallace,1976-07-08,"limerick,ireland",1.88,105.0,1,False,1,1997,2012,203,205,2,2000,2011,75,60
Marcus Horan,1977-09-07,"clonlara,ireland",1.85,106.0,1,False,1,1999,2013,225,125,2,2000,2011,82,35
Tyrone Howe,1971-04-02,"newtownards,northern ireland",1.8,90.0,1,True,1,-9,-9,0,0,2,2000,2006,14,30
Gary Longwell,1971-07-30,"belfast,northern ireland",2.01,117.0,1,False,1,1991,2005,152,0,1,4,2000,26,5
Emmet Byrne,1973-04-04,"dublin, ireland",1.83,106.0,1,False,1,1997,2006,97,0,1,2001,2003,9,0
Shane Byrne,1971-07-18,"aughrim, county wicklow",1.78,101.0,1,False,2,1995,2007,164,30,2,2001,2005,45,15
Mick O'Driscoll,1978-10-08,"cork,ireland",1.96,113.0,1,False,3,1998,2012,242,30,3,2000,2012,41,5
Jeremy Staunton,1980-05-07,"limerick,ireland",1.85,95.0,1,False,6,1999,2012,394,2198,2,1999,2007,19,130
Paul O'Connell,1979-10-20,"limerick,ireland",1.98,112.0,1,False,2,2001,2016,178,95,2,2002,2015,115,40
Keith Gleeson,1976-06-17,"dublin,ireland",1.86,98.0,1,False,1,2001,2008,120,70,4,1995,2007,33,25
John Kelly,1974-04-18,"dublin, republic of ireland",1.78,89.0,2,False,1,1997,2007,154,170,2,3,2002,28,55
Leo Cullen,1978-01-09,"wicklow,ireland",1.98,110.0,2,False,3,1998,2014,275,90,4,1997,2011,68,0
Donncha O'Callaghan,1979-03-24,"cork, ireland",1.98,115.0,1,False,2,1998,2018,331,45,4,2002,2017,107,5
Simon Best,1978-02-11,"craigavon,northern ireland",1.85,114.0,1,False,1,1999,2008,118,25,2,6,2005,30,10
Anthony Horgan,1976-11-15,"cork,ireland",1.8,96.0,1,False,1,1997,2009,146,205,2,5,2003,16,40
Aidan McCullen,1977-01-05,"dublin,ireland",1.93,110.0,1,False,4,1998,2008,82,30,2,1998,2003,1,0
Paul Shields,1978-09-25,"belfast,northern ireland",0.0,0.0,1,False,2,2007,2009,145,30,2,5,2003,10,10
Gavin Duffy,1981-09-18,"ballina,ireland",1.88,0.0,1,False,4,2001,2014,589,252,2,2004,2012,21,23
Johnny O'Connor,1980-02-09,"galway, ireland",1.8,100.0,1,False,3,2000,2013,207,100,2,2001,2008,21,10
Denis Leamy,1981-11-27,"cashel,ireland",1.88,108.0,3,False,1,2002,2012,145,150,1,2004,2011,57,10
Tommy Bowe,1984-02-22,"emyvale,monaghan,ireland",1.91,98.0,2,False,3,2003,2018,245,495,4,2004,2017,78,155
Matt McCullough,1981-09-09,,1.98,110.0,2,False,1,2001,2009,130,40,1,2005,2005,4,0
Roger Wilson,1981-09-21,"belfast, northern ireland",1.89,108.0,1,False,3,2003,2017,334,95,4,2005,2014,15,5
Bernard Jackman,1976-05-05,"tullow,republic of ireland",1.83,115.0,1,False,5,1997,2010,184,45,1,2000,2008,9,0
David Quinlan,1978-01-04,"dublin,ireland",1.93,103.0,1,False,2,5,2007,48,5,2,6,2005,9,0
Trevor Hogan,1979-11-19,"nenagh, ireland",1.98,113.0,1,False,2,2002,2011,116,20,2,2005,2009,16,0
Kieran Campbell,1979-07-06,"hillingdon,london,england",1.76,80.0,1,False,3,1997,2010,205,10,2,2001,2007,14,0
Kieran Lewis,1980-08-19,,1.85,90.0,2,False,2,7,2007,86,50,2,7,2005,13,10
Rory Best,1982-08-15,"craigavon,northern ireland",1.82,105.0,1,False,1,2004,2019,218,115,3,2005,2019,125,60
Neil Best,1979-04-03,"belfast,northern ireland",1.91,105.0,1,False,4,2002,2015,246,130,2,8,2008,27,25
Andrew Trimble,1984-10-20,"coleraine,northern ireland",1.86,99.0,2,False,1,2005,2018,229,382,2,13,2017,73,90
Jerry Flannery,1978-10-17,"galway,ireland",1.8,100.0,1,False,2,2001,2012,99,40,2,2005,2011,41,15
Eoin Reddan,1980-11-20,"limerick,ireland",1.76,83.0,1,False,4,3,2009,312,125,2,9,2006,73,15
Bryan Young,1981-06-11,"belfast,northern ireland",1.85,110.0,1,False,2,11,2011,136,0,2,7,2006,17,0
Isaac Boss,1980-04-09,"tokoroa,new zealand[1]",1.78,88.0,2,False,4,1999,2016,297,135,3,1999,2015,38,30
Paddy Wallace,1979-08-27,"dundonald,northern ireland",1.8,81.0,3,False,1,14,2001,189,411,3,10,2006,44,137
Luke Fitzgerald,1987-09-13,"county wicklow,ireland",1.85,92.0,3,False,1,2006,2016,141,160,3,2006,2016,38,25
Jamie Heaslip,1983-12-15,"tiberias, israel",1.92,110.0,1,False,1,2005,2018,229,190,4,2004,2017,117,70
